image,attack,psnr,ssim,bit_accuracy,ber,nc,phash_distance,log_match,signature_ok,risk
aigc_03_landscape,模糊 r=1.2,28.873,0.9871,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_03_landscape,日志签名篡改,42.134,0.9996,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_04_lab,无攻击,42.043,0.9996,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_04_lab,JPEG Q=90,33.922,0.9988,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_04_lab,JPEG Q=70,31.169,0.9965,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_04_lab,JPEG Q=50,30.121,0.9951,0.6875,0.3125,0.375,0,否,否,内容相似，但水印可能被破坏或移除
aigc_04_lab,高斯噪声 sigma=0.01,37.329,0.9991,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_04_lab,缩放 0.5x,26.9,0.9796,0.9219,0.0781,0.8438,0,否,否,内容相似，但水印可能被破坏或移除
aigc_04_lab,裁剪 10%,13.605,0.5991,0.5625,0.4375,0.125,14,否,否,内容变化较大，无法可信溯源
aigc_04_lab,局部遮挡篡改,14.969,0.7475,1.0,0.0,1.0,22,是,是,来源记录存在，但内容疑似大幅篡改
aigc_04_lab,亮度 +20%,22.002,0.9731,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_04_lab,模糊 r=1.2,25.754,0.9729,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_04_lab,日志签名篡改,42.043,0.9996,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_05_cybersecurity,无攻击,42.588,0.9995,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_05_cybersecurity,JPEG Q=90,32.93,0.9982,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_05_cybersecurity,JPEG Q=70,29.949,0.994,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_05_cybersecurity,JPEG Q=50,28.802,0.9908,0.8594,0.1406,0.7188,0,否,否,内容相似，但水印可能被破坏或移除
aigc_05_cybersecurity,高斯噪声 sigma=0.01,37.84,0.9989,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_05_cybersecurity,缩放 0.5x,27.795,0.9789,0.8281,0.1719,0.6562,0,否,否,内容相似，但水印可能被破坏或移除
aigc_05_cybersecurity,裁剪 10%,12.02,0.3191,0.4844,0.5156,-0.0312,20,否,否,内容变化较大，无法可信溯源
aigc_05_cybersecurity,局部遮挡篡改,15.24,0.7291,1.0,0.0,1.0,24,是,是,来源记录存在，但内容疑似大幅篡改
aigc_05_cybersecurity,亮度 +20%,23.861,0.9756,1.0,0.0,1.0,4,是,是,高可信来源一致
aigc_05_cybersecurity,模糊 r=1.2,26.606,0.9719,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_05_cybersecurity,日志签名篡改,42.588,0.9995,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_06_interior,无攻击,42.225,0.9996,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_06_interior,JPEG Q=90,35.419,0.9988,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_06_interior,JPEG Q=70,31.968,0.9961,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_06_interior,JPEG Q=50,30.642,0.9944,0.7969,0.2031,0.5938,0,否,否,内容相似，但水印可能被破坏或移除
aigc_06_interior,高斯噪声 sigma=0.01,37.374,0.9992,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_06_interior,缩放 0.5x,26.5,0.9787,0.7812,0.2188,0.5625,0,否,否,内容相似，但水印可能被破坏或移除
aigc_06_interior,裁剪 10%,11.218,0.2823,0.4844,0.5156,-0.0312,18,否,否,内容变化较大，无法可信溯源
aigc_06_interior,局部遮挡篡改,16.068,0.8065,1.0,0.0,1.0,12,是,是,来源可信，存在正常后处理或轻微编辑
aigc_06_interior,亮度 +20%,22.026,0.9716,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_06_interior,模糊 r=1.2,25.214,0.9704,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_06_interior,日志签名篡改,42.225,0.9996,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_07_texture,无攻击,42.047,0.9994,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_07_texture,JPEG Q=90,35.148,0.9975,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_07_texture,JPEG Q=70,30.531,0.9905,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_07_texture,JPEG Q=50,28.735,0.9849,0.8594,0.1406,0.7188,0,否,否,内容相似，但水印可能被破坏或移除
aigc_07_texture,高斯噪声 sigma=0.01,37.323,0.9988,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_07_texture,缩放 0.5x,23.95,0.946,0.875,0.125,0.75,0,否,否,内容相似，但水印可能被破坏或移除
aigc_07_texture,裁剪 10%,13.648,0.4863,0.4531,0.5469,-0.0938,16,否,否,内容变化较大，无法可信溯源
aigc_07_texture,局部遮挡篡改,16.071,0.7511,1.0,0.0,1.0,14,是,是,来源记录存在，但内容疑似大幅篡改
aigc_07_texture,亮度 +20%,23.844,0.9715,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_07_texture,模糊 r=1.2,22.598,0.9239,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_07_texture,日志签名篡改,42.047,0.9994,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_08_illustration,无攻击,42.099,0.9996,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_08_illustration,JPEG Q=90,33.552,0.999,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_08_illustration,JPEG Q=70,30.404,0.9968,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_08_illustration,JPEG Q=50,29.282,0.9953,0.7031,0.2969,0.4062,0,否,否,内容相似，但水印可能被破坏或移除
aigc_08_illustration,高斯噪声 sigma=0.01,37.307,0.9992,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_08_illustration,缩放 0.5x,27.419,0.9815,0.875,0.125,0.75,0,否,否,内容相似，但水印可能被破坏或移除
aigc_08_illustration,裁剪 10%,10.329,0.1632,0.4375,0.5625,-0.125,26,否,否,内容变化较大，无法可信溯源
aigc_08_illustration,局部遮挡篡改,15.558,0.7969,1.0,0.0,1.0,8,是,是,高可信来源一致
aigc_08_illustration,亮度 +20%,21.024,0.9781,1.0,0.0,1.0,2,是,是,高可信来源一致
aigc_08_illustration,模糊 r=1.2,25.735,0.9719,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_08_illustration,日志签名篡改,42.099,0.9996,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_09_night,无攻击,42.999,0.9977,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_09_night,JPEG Q=90,36.054,0.9937,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_09_night,JPEG Q=70,33.069,0.9832,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_09_night,JPEG Q=50,32.006,0.9772,0.7656,0.2344,0.5312,0,否,否,内容相似，但水印可能被破坏或移除
aigc_09_night,高斯噪声 sigma=0.01,38.343,0.9951,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_09_night,缩放 0.5x,30.167,0.9547,0.8594,0.1406,0.7188,0,否,否,内容相似，但水印可能被破坏或移除
aigc_09_night,裁剪 10%,17.155,0.2321,0.4844,0.5156,-0.0312,24,否,否,内容变化较大，无法可信溯源
aigc_09_night,局部遮挡篡改,14.952,0.3885,1.0,0.0,1.0,22,是,是,来源记录存在，但内容疑似大幅篡改
aigc_09_night,亮度 +20%,33.249,0.9794,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_09_night,模糊 r=1.2,29.379,0.9446,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_09_night,日志签名篡改,42.999,0.9977,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_10_abstract,无攻击,42.678,0.9995,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_10_abstract,JPEG Q=90,34.009,0.9982,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_10_abstract,JPEG Q=70,31.219,0.9944,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_10_abstract,JPEG Q=50,30.137,0.992,0.5625,0.4375,0.125,0,否,否,内容相似，但水印可能被破坏或移除
aigc_10_abstract,高斯噪声 sigma=0.01,37.974,0.9988,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_10_abstract,缩放 0.5x,28.668,0.981,0.875,0.125,0.75,0,否,否,内容相似，但水印可能被破坏或移除
aigc_10_abstract,裁剪 10%,13.467,0.4858,0.5312,0.4688,0.0625,12,否,否,证据不足，需要人工复核
aigc_10_abstract,局部遮挡篡改,15.566,0.7675,1.0,0.0,1.0,12,是,是,来源可信，存在正常后处理或轻微编辑
aigc_10_abstract,亮度 +20%,24.129,0.9767,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_10_abstract,模糊 r=1.2,27.696,0.976,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_10_abstract,日志签名篡改,42.678,0.9995,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_11_generated_portrait,无攻击,42.537,0.9995,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_11_generated_portrait,JPEG Q=90,40.674,0.9994,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_11_generated_portrait,JPEG Q=70,38.332,0.9987,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_11_generated_portrait,JPEG Q=50,38.854,0.9991,0.4531,0.5469,-0.0938,0,否,否,内容相似，但水印可能被破坏或移除
aigc_11_generated_portrait,高斯噪声 sigma=0.01,37.561,0.9988,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_11_generated_portrait,缩放 0.5x,42.167,0.9994,0.9219,0.0781,0.8438,0,否,否,内容相似，但水印可能被破坏或移除
aigc_11_generated_portrait,裁剪 10%,16.032,0.6752,0.6094,0.3906,0.2188,18,否,否,内容变化较大，无法可信溯源
aigc_11_generated_portrait,局部遮挡篡改,15.895,0.7446,1.0,0.0,1.0,14,是,是,来源记录存在，但内容疑似大幅篡改
aigc_11_generated_portrait,亮度 +20%,24.846,0.9708,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_11_generated_portrait,模糊 r=1.2,40.563,0.9991,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_11_generated_portrait,日志签名篡改,42.537,0.9995,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_12_generated_city,无攻击,42.06,0.9988,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_12_generated_city,JPEG Q=90,36.312,0.9978,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_12_generated_city,JPEG Q=70,33.361,0.9947,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_12_generated_city,JPEG Q=50,32.293,0.9932,0.6875,0.3125,0.375,0,否,否,内容相似，但水印可能被破坏或移除
aigc_12_generated_city,高斯噪声 sigma=0.01,37.372,0.9974,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_12_generated_city,缩放 0.5x,32.418,0.9828,0.7812,0.2188,0.5625,0,否,否,内容相似，但水印可能被破坏或移除
aigc_12_generated_city,裁剪 10%,14.843,0.2732,0.5469,0.4531,0.0938,20,否,否,内容变化较大，无法可信溯源
aigc_12_generated_city,局部遮挡篡改,15.113,0.5196,1.0,0.0,1.0,22,是,是,来源记录存在，但内容疑似大幅篡改
aigc_12_generated_city,亮度 +20%,25.427,0.9735,1.0,0.0,1.0,2,是,是,高可信来源一致
aigc_12_generated_city,模糊 r=1.2,30.097,0.9693,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_12_generated_city,日志签名篡改,42.06,0.9988,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_13_generated_landscape,无攻击,42.312,0.9997,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_13_generated_landscape,JPEG Q=90,37.758,0.9994,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_13_generated_landscape,JPEG Q=70,35.02,0.9986,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_13_generated_landscape,JPEG Q=50,34.256,0.9985,0.625,0.375,0.25,0,否,否,内容相似，但水印可能被破坏或移除
aigc_13_generated_landscape,高斯噪声 sigma=0.01,37.381,0.9992,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_13_generated_landscape,缩放 0.5x,36.796,0.9983,0.9062,0.0938,0.8125,0,否,否,内容相似，但水印可能被破坏或移除
aigc_13_generated_landscape,裁剪 10%,14.963,0.6957,0.5,0.5,0.0,16,否,否,内容变化较大，无法可信溯源
aigc_13_generated_landscape,局部遮挡篡改,12.954,0.5884,1.0,0.0,1.0,16,是,是,来源记录存在，但内容疑似大幅篡改
aigc_13_generated_landscape,亮度 +20%,22.532,0.9736,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_13_generated_landscape,模糊 r=1.2,34.166,0.9967,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_13_generated_landscape,日志签名篡改,42.312,0.9997,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_14_generated_lab,无攻击,42.133,0.9995,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_14_generated_lab,JPEG Q=90,36.875,0.9991,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_14_generated_lab,JPEG Q=70,33.865,0.9977,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_14_generated_lab,JPEG Q=50,32.835,0.9971,0.5781,0.4219,0.1562,0,否,否,内容相似，但水印可能被破坏或移除
aigc_14_generated_lab,高斯噪声 sigma=0.01,37.299,0.9989,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_14_generated_lab,缩放 0.5x,30.466,0.9887,0.8906,0.1094,0.7812,0,否,否,内容相似，但水印可能被破坏或移除
aigc_14_generated_lab,裁剪 10%,12.434,0.3262,0.5,0.5,0.0,22,否,否,内容变化较大，无法可信溯源
aigc_14_generated_lab,局部遮挡篡改,14.23,0.6169,1.0,0.0,1.0,24,是,是,来源记录存在，但内容疑似大幅篡改
aigc_14_generated_lab,亮度 +20%,21.969,0.9737,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_14_generated_lab,模糊 r=1.2,27.788,0.9783,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_14_generated_lab,日志签名篡改,42.133,0.9995,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_15_generated_cybersecurity,无攻击,43.078,0.9994,1.0,0.0,1.0,2,是,是,高可信来源一致
aigc_15_generated_cybersecurity,JPEG Q=90,35.97,0.999,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_15_generated_cybersecurity,JPEG Q=70,32.84,0.9976,0.9688,0.0312,0.9375,2,否,否,内容相似，但水印可能被破坏或移除
aigc_15_generated_cybersecurity,JPEG Q=50,31.76,0.9968,0.5156,0.4844,0.0312,0,否,否,内容相似，但水印可能被破坏或移除
aigc_15_generated_cybersecurity,高斯噪声 sigma=0.01,38.462,0.9986,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_15_generated_cybersecurity,缩放 0.5x,31.682,0.9894,0.8125,0.1875,0.625,0,否,否,内容相似，但水印可能被破坏或移除
aigc_15_generated_cybersecurity,裁剪 10%,13.786,0.4746,0.4375,0.5625,-0.125,22,否,否,内容变化较大，无法可信溯源
aigc_15_generated_cybersecurity,局部遮挡篡改,14.071,0.5569,1.0,0.0,1.0,20,是,是,来源记录存在，但内容疑似大幅篡改
aigc_15_generated_cybersecurity,亮度 +20%,26.624,0.976,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_15_generated_cybersecurity,模糊 r=1.2,28.827,0.9794,1.0,0.0,1.0,2,是,是,高可信来源一致
aigc_15_generated_cybersecurity,日志签名篡改,43.078,0.9994,1.0,0.0,1.0,2,是,否,疑似水印伪造或来源冒用
aigc_16_generated_interior,无攻击,42.425,0.9996,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_16_generated_interior,JPEG Q=90,39.755,0.9993,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_16_generated_interior,JPEG Q=70,36.903,0.9983,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_16_generated_interior,JPEG Q=50,36.45,0.9983,0.5469,0.4531,0.0938,0,否,否,内容相似，但水印可能被破坏或移除
aigc_16_generated_interior,高斯噪声 sigma=0.01,37.424,0.999,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_16_generated_interior,缩放 0.5x,33.193,0.9941,0.9062,0.0938,0.8125,0,否,否,内容相似，但水印可能被破坏或移除
aigc_16_generated_interior,裁剪 10%,12.984,0.4125,0.2969,0.7031,-0.4062,22,否,否,内容变化较大，无法可信溯源
aigc_16_generated_interior,局部遮挡篡改,15.748,0.7376,1.0,0.0,1.0,12,是,是,来源可信，存在正常后处理或轻微编辑
aigc_16_generated_interior,亮度 +20%,21.562,0.9724,1.0,0.0,1.0,2,是,是,高可信来源一致
aigc_16_generated_interior,模糊 r=1.2,30.967,0.9899,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_16_generated_interior,日志签名篡改,42.425,0.9996,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_17_generated_texture,无攻击,43.182,0.9987,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_17_generated_texture,JPEG Q=90,40.42,0.9976,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_17_generated_texture,JPEG Q=70,37.476,0.9945,0.9688,0.0312,0.9375,0,否,否,内容相似，但水印可能被破坏或移除
aigc_17_generated_texture,JPEG Q=50,36.283,0.9928,0.6562,0.3438,0.3125,0,否,否,内容相似，但水印可能被破坏或移除
aigc_17_generated_texture,高斯噪声 sigma=0.01,38.253,0.9968,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_17_generated_texture,缩放 0.5x,34.056,0.9851,0.7812,0.2188,0.5625,0,否,否,内容相似，但水印可能被破坏或移除
aigc_17_generated_texture,裁剪 10%,16.568,0.2411,0.4062,0.5938,-0.1875,22,否,否,内容变化较大，无法可信溯源
aigc_17_generated_texture,局部遮挡篡改,14.774,0.3931,1.0,0.0,1.0,20,是,是,来源记录存在，但内容疑似大幅篡改
aigc_17_generated_texture,亮度 +20%,30.568,0.9736,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_17_generated_texture,模糊 r=1.2,31.602,0.973,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_17_generated_texture,日志签名篡改,43.182,0.9987,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_18_generated_illustration,无攻击,42.059,0.9995,1.0,0.0,1.0,2,是,是,高可信来源一致
aigc_18_generated_illustration,JPEG Q=90,37.284,0.9992,1.0,0.0,1.0,2,是,是,高可信来源一致
aigc_18_generated_illustration,JPEG Q=70,34.54,0.998,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_18_generated_illustration,JPEG Q=50,33.64,0.9976,0.6719,0.3281,0.3438,0,否,否,内容相似，但水印可能被破坏或移除
aigc_18_generated_illustration,高斯噪声 sigma=0.01,37.263,0.999,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_18_generated_illustration,缩放 0.5x,34.193,0.9954,0.875,0.125,0.75,2,否,否,内容相似，但水印可能被破坏或移除
aigc_18_generated_illustration,裁剪 10%,14.374,0.5159,0.5938,0.4062,0.1875,16,否,否,内容变化较大，无法可信溯源
aigc_18_generated_illustration,局部遮挡篡改,15.476,0.7452,1.0,0.0,1.0,10,是,是,来源可信，存在正常后处理或轻微编辑
aigc_18_generated_illustration,亮度 +20%,20.293,0.9707,1.0,0.0,1.0,2,是,是,高可信来源一致
aigc_18_generated_illustration,模糊 r=1.2,31.713,0.9915,1.0,0.0,1.0,2,是,是,高可信来源一致
aigc_18_generated_illustration,日志签名篡改,42.059,0.9995,1.0,0.0,1.0,2,是,否,疑似水印伪造或来源冒用
aigc_19_generated_night,无攻击,42.4,0.9985,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_19_generated_night,JPEG Q=90,37.13,0.9974,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_19_generated_night,JPEG Q=70,34.171,0.994,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_19_generated_night,JPEG Q=50,33.282,0.9927,0.625,0.375,0.25,0,否,否,内容相似，但水印可能被破坏或移除
aigc_19_generated_night,高斯噪声 sigma=0.01,37.466,0.9963,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_19_generated_night,缩放 0.5x,33.422,0.9837,0.875,0.125,0.75,0,否,否,内容相似，但水印可能被破坏或移除
aigc_19_generated_night,裁剪 10%,16.862,0.3582,0.4688,0.5312,-0.0625,10,否,否,证据不足，需要人工复核
aigc_19_generated_night,局部遮挡篡改,16.053,0.5787,1.0,0.0,1.0,16,是,是,来源记录存在，但内容疑似大幅篡改
aigc_19_generated_night,亮度 +20%,30.804,0.9764,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_19_generated_night,模糊 r=1.2,31.118,0.9715,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_19_generated_night,日志签名篡改,42.4,0.9985,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
aigc_20_generated_abstract,无攻击,42.274,0.9996,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_20_generated_abstract,JPEG Q=90,37.712,0.9994,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_20_generated_abstract,JPEG Q=70,34.665,0.9987,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_20_generated_abstract,JPEG Q=50,33.814,0.9987,0.5156,0.4844,0.0312,0,否,否,内容相似，但水印可能被破坏或移除
aigc_20_generated_abstract,高斯噪声 sigma=0.01,37.456,0.9991,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_20_generated_abstract,缩放 0.5x,35.004,0.9971,0.8906,0.1094,0.7812,0,否,否,内容相似，但水印可能被破坏或移除
aigc_20_generated_abstract,裁剪 10%,15.784,0.7899,0.6094,0.3906,0.2188,18,否,否,内容变化较大，无法可信溯源
aigc_20_generated_abstract,局部遮挡篡改,12.346,0.4888,1.0,0.0,1.0,20,是,是,来源记录存在，但内容疑似大幅篡改
aigc_20_generated_abstract,亮度 +20%,22.991,0.9747,1.0,0.0,1.0,4,是,是,高可信来源一致
aigc_20_generated_abstract,模糊 r=1.2,32.827,0.9951,1.0,0.0,1.0,0,是,是,高可信来源一致
aigc_20_generated_abstract,日志签名篡改,42.274,0.9996,1.0,0.0,1.0,0,是,否,疑似水印伪造或来源冒用
